,_id,ViewData.BreakID,ViewData.Status,ViewData.SPM ID,ViewData.Currency,ViewData.Custodian Account,ViewData.ISIN,ViewData.Transaction Type,ViewData.Trade Date,ViewData.CUSIP,ViewData.Description,ViewData.SEDOL,ViewData.Ticker,ViewData.Underlying Cusip,ViewData.Underlying ISIN,ViewData.Underlying Sedol,ViewData.Settle Date,ViewData.Fund,ViewData.Cancel Amount,ViewData.Accounting Net Amount,ViewData.B-P Net Amount,ViewData.Net Amount Difference,ViewData.Net Amount Difference Absolute,ViewData.Custodian,ViewData.Asset Type Category,ViewData.Cancel Flag,ViewData.Investment Type,ViewData.Prime Broker,ViewData.Quantity,ViewData.Price,ViewData.Commission,ViewData.Transaction Category,ViewData.ExpiryDate,ViewData.Base Net Amount,ViewData.Strike Price,ViewData.OTE Ticker,ViewData.Age,ViewData.Age WK,ViewData.Mapped Custodian Account,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds
0,5e3787691554580ed8512f02,1093099995,SDB,,USD,5229278B,US92826C8394,Sell,01-21-2020,92826C839,VISA INC-CLASS A SHARES COM,B2PZN04,V,,0710684982,,01-23-2020,5229278B,393604.88,,393604.88,393604.88,393604.88,5229278B,EQUITY,0.0,EQUITY,CITI,1905.0,206.625,7.62,SSHORT,,,,,3,3,CITIGM_PB_USD_OG,,863_125715592_CITI
1,5e3787691554580ed8512f03,1090952275,SDB,,USD,CITIGM_PB_USD_MS,US30303M1027,Sell,01-17-2020,30303M102,FACEBOOK INC-A,B7TL820,FB,,,,01-22-2020,MS,816738.05,816738.05,,-816738.05,816738.05,CITI,Common Stock,0.0,Common Stock,CITI,-3681.0,221.924,147.24,,,816738.05,0.0,FB,1,1,CITIGM_PB_USD_MS,138_125713764_Advent Geneva,
2,5e3787691554580ed8512f04,1090952278,SDB,,USD,CITIGM_PB_USD_MS,US30303M1027,Sell,01-17-2020,30303M102,FACEBOOK INC-A,B7TL820,FB,,,,01-22-2020,MS,544638.84,544638.84,,-544638.84,544638.84,CITI,Common Stock,0.0,Common Stock,CITI,-2454.0,221.9838,98.16,,,544638.84,0.0,FB,1,1,CITIGM_PB_USD_MS,141_125713764_Advent Geneva,
3,5e3787691554580ed8512f05,1090952276,SDB,,USD,CITIGM_PB_USD_MS,US30303M1027,Sell,01-17-2020,30303M102,FACEBOOK INC-A,B7TL820,FB,,,,01-22-2020,MS,816109.02,816109.02,,-816109.02,816109.02,CITI,Common Stock,0.0,Common Stock,CITI,-3681.0,221.7531,147.24,,,816109.02,0.0,FB,1,1,CITIGM_PB_USD_MS,142_125713764_Advent Geneva,
4,5e3787931554580ed85183f2,1090952459,OB,,USD,CITIGM_PB_USD_R1,US61946M1009,Sell,01-21-2020,61946M100,MOSAIC ACQUISITION CORP-CL A,BHK9TY2,MOSC,,,,01-22-2020,R1,36047.91,36047.91,,-36047.91,36047.91,CITI,Common Stock,0.0,Common Stock,CITI,-3502.0,10.2935,0.0,,,36047.91,0.0,MOSC,12,8,CITIGM_PB_USD_R1,982_125713764_Advent Geneva,
5,5e3787931554580ed8518400,1090950854,SMB,,USD,CITIGM_PB_USD_MS,US25470F1049,Sell,01-17-2020,25470F104,DISCOVERY HOLDING CO-A,B3D7K31,DISCA,,OAES-OPTASS-101238168,,01-22-2020,MS,81250.0,81250.0,81248.31,-1.69000000000233,1.69000000000233,CITI,Common Stock,0.0,Common Stock,CITI,-2500.0,32.5,0.0,SELL,,81250.0,0.0,DISCA,17,11,CITIGM_PB_USD_MS,229_125713764_Advent Geneva,484_125713764_CITI
6,5e378abf155458119ca43fbd,1092869914,SDB,,USD,MS_PB_PO,US4385161066,Sell,01-16-2020,438516106,HONEYWELL INC.,2020459,HON,,,,01-21-2020,PO,9059.76,9059.76,,-9059.76,9059.76,MS,Common Stock,0.0,Common Stock,MS,-50.0,181.2391,2.0,,,9059.76,0.0,HON,2,2,MS_PB_PO,1396_125715430_Advent Geneva,
7,5e378abf155458119ca43fc0,1092869932,SDB,,USD,038CDNXI1,US4385161066,Sell,01-16-2020,438516106,HONEYWELL INTERNATIONAL INC,2020459,HON,,,,01-21-2020,PO,9059.76,,9059.76,9059.76,9059.76,MSCO,015A,0.0,PB,MLCO,-50.0,181.239083,-2.0,SELL LONG,,,,,3,3,MS_PB_PO,,1363_125712442_Morgan Stanley
8,5e378abf155458119ca43fc1,1092869924,SDB,,USD,038CDNXI1,US4385161066,Sell,01-16-2020,438516106,HONEYWELL INTERNATIONAL INC,2020459,HON,,,,01-21-2020,PO,19992.39,,19992.39,19992.39,19992.39,MSCO,015A,0.0,PB,MLCO,-110.0,181.79274,-4.4,SELL LONG,,,,,3,3,MS_PB_PO,,1233_125712442_Morgan Stanley
9,5e378abf155458119ca43fc2,1092869926,SDB,,USD,038CDNXI1,US4385161066,Sell,01-16-2020,438516106,HONEYWELL INTERNATIONAL INC,2020459,HON,,,,01-21-2020,PO,7614.13,,7614.13,7614.13,7614.13,MSCO,015A,0.0,PB,UBSA,-42.0,181.2958,-0.13,SELL LONG,,,,,3,3,MS_PB_PO,,1330_125712442_Morgan Stanley
